dataset,n,colors,algorithm,mode,fairness_combination,epsilon,delta,weightA,weightB,alpha,beta,num_diff_constraints,num_ratio_constraints,num_coverage_constraints,dimensions,range_from,range_to,range_size,range_bucket,range_position,iterations_done,file_load_ms,build_time_ms,avg_query_time_ms,min_query_time_ms,max_query_time_ms,result,result_from,result_to,similarity,tle
live_l2_unique_32k.csv,32000,3,bfs,fair,D,2.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111482.735252,1779112105.2113838,623.4761319160461,large,low,3,N/A,6.73,46143.16,45963.61,46395.95,"[1779111679.1274,1779112099.6489]",1779111679.1274,1779112099.6489,0.8054,NO
live_l2_unique_32k.csv,32000,3,bfs,fair,D,2.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111138.5597348,1779111756.6439154,619.0841805934906,large,low,3,N/A,6.73,155445.23,154711.57,156519.47,"[1779111157.1536,1779111321.4835]",1779111157.1536,1779111321.4835,0.4180,NO
live_l2_unique_32k.csv,32000,3,trees,range_opt,D,2.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111294.0927737,1779111417.437774,124.34500026702881,small,low,3,N/A,426.47,12.08,12.01,12.12,"[1779111327.0929,1779111343.3586]",1779111327.0929,1779111343.3586,0.2355,NO
live_l2_unique_32k.csv,32000,3,trees,range_opt,D,2.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111135.9972236,1779111260.9205031,125.92327952384949,small,low,3,N/A,426.47,3.34,3.33,3.35,"[1779111164.4973,1779111264.4049]",1779111164.4973,1779111264.4049,0.8613,NO
live_l2_unique_32k.csv,32000,3,trees,range_opt,D,2.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111172.0760076,1779111295.2021565,124.12614893913269,small,low,3,N/A,426.47,1.20,1.19,1.21,"[1779111173.8261,1779111306.1085]",1779111173.8261,1779111306.1085,0.9515,NO
live_l2_unique_32k.csv,32000,3,trees,range_opt,D,2.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111255.7485957,1779111625.0488963,370.30030059814453,medium,low,3,N/A,426.47,17.49,17.43,17.57,"[1779111471.3133,1779111544.1421]",1779111471.3133,1779111544.1421,0.3304,NO
live_l2_unique_32k.csv,32000,3,trees,range_opt,D,2.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111309.3740814,1779111678.0961893,369.72210788726807,medium,low,3,N/A,426.47,19.03,18.96,19.14,"[1779111471.3133,1779111544.1421]",1779111471.3133,1779111544.1421,0.3304,NO
live_l2_unique_32k.csv,32000,3,trees,range_opt,D,2.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111410.7657945,1779111782.8006055,373.03481101989746,medium,low,3,N/A,426.47,19.98,19.92,20.06,"[1779111627.8302,1779111824.1288]",1779111627.8302,1779111824.1288,0.5433,NO
live_l2_unique_32k.csv,32000,3,trees,range_opt,D,2.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111531.0170987,1779112155.4634037,625.4463050365448,large,mid,3,N/A,426.47,16.68,16.65,16.72,"[1779111680.3774,1779112122.8058]",1779111680.3774,1779112122.8058,0.8293,NO
live_l2_unique_32k.csv,32000,3,trees,range_opt,D,2.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111482.735252,1779112105.2113838,623.4761319160461,large,low,3,N/A,426.47,18.45,18.37,18.60,"[1779111679.1274,1779112099.6489]",1779111679.1274,1779112099.6489,0.8054,NO
