time,color
69.859,HARD
69.86,MEDIUM
69.862,HARD
69.863,HARD
69.864,MEDIUM
69.865,MEDIUM
69.866,MEDIUM
69.868,MEDIUM
69.869,HARD
69.87,HARD
69.871,HARD
69.872,MEDIUM
69.873,HARD
69.874,HARD
69.877,MEDIUM
69.88,HARD
69.881,HARD
69.885,MEDIUM
69.887,MEDIUM
69.888,MEDIUM
69.889,MEDIUM
69.89,MEDIUM
69.891,HARD
69.892,MEDIUM
69.893,HARD
69.894,HARD
69.895,HARD
69.896,HARD
69.898,MEDIUM
69.899,MEDIUM
69.9,HARD
69.901,MEDIUM
69.903,HARD
69.904,MEDIUM
69.905,HARD
69.907,HARD
69.908,HARD
69.911,HARD
69.912,MEDIUM
69.914,HARD
69.91499999999999,HARD
69.916,MEDIUM
69.917,MEDIUM
69.918,MEDIUM
69.92099999999999,MEDIUM
69.922,HARD
69.923,MEDIUM
69.928,HARD
69.929,MEDIUM
69.93,MEDIUM
69.931,HARD
69.932,MEDIUM
69.93299999999999,MEDIUM
69.934,MEDIUM
69.936,HARD
69.937,HARD
69.938,MEDIUM
69.94,MEDIUM
69.941,MEDIUM
69.94200000000001,HARD
69.945,MEDIUM
69.946,HARD
69.947,HARD
69.94800000000001,HARD
69.949,HARD
69.95,HARD
69.951,HARD
69.952,HARD
69.953,HARD
69.956,MEDIUM
69.957,HARD
69.958,HARD
69.959,HARD
69.96000000000001,HARD
69.961,HARD
69.962,HARD
69.963,MEDIUM
69.965,HARD
69.966,HARD
69.967,HARD
69.968,HARD
69.969,HARD
69.971,HARD
69.972,HARD
69.974,MEDIUM
69.976,MEDIUM
69.977,MEDIUM
69.978,HARD
69.979,HARD
69.98,HARD
69.981,HARD
69.982,HARD
69.983,HARD
69.984,MEDIUM
69.985,HARD
69.986,HARD
69.987,MEDIUM
69.988,MEDIUM
69.989,HARD
69.99,HARD
69.991,HARD
69.992,HARD
69.993,HARD
69.994,MEDIUM
69.995,HARD
69.996,MEDIUM
69.998,HARD
69.999,MEDIUM
70.001,HARD
70.002,HARD
70.003,HARD
70.005,HARD
70.006,MEDIUM
70.007,HARD
70.008,MEDIUM
70.009,HARD
70.01,MEDIUM
70.013,HARD
70.014,MEDIUM
70.015,HARD
70.016,HARD
70.018,HARD
70.019,MEDIUM
70.02,MEDIUM
70.021,HARD
70.023,HARD
70.024,HARD
70.025,HARD
70.026,HARD
70.028,HARD
70.029,HARD
70.03,HARD
70.031,MEDIUM
70.033,HARD
70.035,HARD
70.037,HARD
70.038,HARD
70.039,MEDIUM
70.03999999999999,HARD
70.041,HARD
70.042,HARD
70.043,MEDIUM
70.044,HARD
70.045,MEDIUM
70.04599999999999,HARD
70.047,HARD
70.048,HARD
70.049,MEDIUM
70.05,HARD
70.051,MEDIUM
70.05199999999999,HARD
70.053,HARD
70.054,MEDIUM
70.056,HARD
70.057,HARD
70.05799999999999,MEDIUM
70.061,MEDIUM
70.062,HARD
70.063,SOFT
70.064,HARD
70.065,HARD
70.066,MEDIUM
70.06700000000001,HARD
70.068,HARD
70.069,HARD
70.072,HARD
70.07300000000001,HARD
70.074,HARD
70.075,HARD
70.076,HARD
70.078,HARD
70.07900000000001,MEDIUM
70.08,HARD
70.081,MEDIUM
70.082,HARD
70.083,HARD
70.084,HARD
70.08500000000001,HARD
70.087,HARD
70.088,HARD
70.089,MEDIUM
70.091,MEDIUM
70.092,HARD
70.094,MEDIUM
70.095,HARD
70.097,HARD
70.098,HARD
70.1,MEDIUM
70.102,HARD
70.103,HARD
70.104,HARD
70.105,MEDIUM
70.106,HARD
70.107,HARD
70.108,HARD
70.109,MEDIUM
70.11,MEDIUM
70.111,MEDIUM
70.113,HARD
70.114,HARD
70.115,HARD
70.119,MEDIUM
70.12,HARD
70.121,HARD
70.122,MEDIUM
70.123,HARD
70.124,HARD
70.126,HARD
70.127,MEDIUM
70.128,MEDIUM
70.13,HARD
70.133,HARD
70.134,MEDIUM
70.135,MEDIUM
70.136,HARD
70.138,HARD
70.142,MEDIUM
70.144,HARD
70.145,HARD
70.146,HARD
70.147,MEDIUM
70.148,MEDIUM
70.149,HARD
70.15,MEDIUM
70.151,HARD
70.153,HARD
70.156,MEDIUM
70.158,HARD
70.16,MEDIUM
70.161,HARD
70.162,MEDIUM
70.163,MEDIUM
70.16499999999999,HARD
70.166,HARD
70.168,HARD
70.169,HARD
70.17,HARD
70.17099999999999,HARD
70.172,HARD
70.173,HARD
70.175,HARD
70.17699999999999,HARD
70.178,HARD
70.179,SOFT
70.182,HARD
70.184,HARD
70.185,HARD
70.186,HARD
70.187,HARD
70.188,HARD
70.189,HARD
70.19,HARD
70.19200000000001,MEDIUM
70.193,HARD
70.195,HARD
70.196,HARD
70.197,HARD
70.199,MEDIUM
70.2,MEDIUM
70.201,MEDIUM
70.202,HARD
70.203,HARD
70.20400000000001,HARD
70.205,HARD
70.207,SOFT
70.208,HARD
70.211,HARD
70.212,MEDIUM
70.213,HARD
70.214,HARD
70.217,HARD
70.218,SOFT
70.219,HARD
70.22,MEDIUM
70.222,HARD
70.226,HARD
70.227,MEDIUM
70.228,MEDIUM
70.229,SOFT
70.232,HARD
70.233,HARD
70.234,MEDIUM
70.235,HARD
70.236,HARD
70.237,HARD
70.238,HARD
70.24,MEDIUM
70.241,HARD
70.243,MEDIUM
70.244,MEDIUM
70.245,HARD
70.246,MEDIUM
70.247,HARD
70.248,HARD
70.249,SOFT
70.25,HARD
70.252,HARD
70.253,HARD
70.256,MEDIUM
70.257,MEDIUM
70.258,HARD
70.259,MEDIUM
70.26,MEDIUM
70.261,HARD
70.262,HARD
70.263,MEDIUM
70.264,HARD
70.265,HARD
70.266,HARD
70.267,MEDIUM
70.268,HARD
70.27,MEDIUM
70.271,SOFT
70.272,HARD
70.273,HARD
70.275,HARD
70.277,HARD
70.278,HARD
70.279,HARD
70.28,MEDIUM
70.281,HARD
70.282,HARD
70.283,HARD
70.284,HARD
70.285,HARD
70.286,HARD
70.287,MEDIUM
70.288,HARD
70.289,MEDIUM
70.28999999999999,MEDIUM
70.293,MEDIUM
70.294,HARD
70.295,HARD
70.29599999999999,HARD
70.298,HARD
70.299,HARD
70.3,HARD
70.301,MEDIUM
70.30199999999999,HARD
70.303,HARD
70.304,HARD
70.305,HARD
70.306,HARD
70.307,HARD
70.30799999999999,HARD
70.309,HARD
70.31,HARD
70.311,MEDIUM
70.312,HARD
70.314,MEDIUM
70.315,HARD
70.316,MEDIUM
70.319,MEDIUM
70.32,HARD
70.321,MEDIUM
70.322,HARD
70.324,HARD
70.32900000000001,MEDIUM
70.33,MEDIUM
70.332,MEDIUM
70.333,HARD
70.33500000000001,HARD
70.337,MEDIUM
70.338,MEDIUM
70.339,MEDIUM
70.34,MEDIUM
70.341,HARD
70.342,MEDIUM
70.344,HARD
70.345,HARD
70.346,HARD
70.347,HARD
70.349,SOFT
70.35,HARD
70.351,MEDIUM
70.353,MEDIUM
70.354,MEDIUM
70.355,SOFT
70.357,MEDIUM
70.359,HARD
70.36,MEDIUM
70.361,HARD
70.362,MEDIUM
70.363,HARD
70.365,HARD
70.366,HARD
70.367,HARD
70.368,MEDIUM
70.369,HARD
70.371,MEDIUM
70.372,MEDIUM
70.373,MEDIUM
70.374,HARD
70.377,MEDIUM
70.378,HARD
70.379,HARD
70.381,MEDIUM
70.382,HARD
70.383,SOFT
70.385,MEDIUM
70.386,HARD
70.388,HARD
70.389,MEDIUM
70.39,HARD
70.391,HARD
70.392,MEDIUM
70.394,HARD
70.395,HARD
70.396,HARD
70.399,HARD
70.4,MEDIUM
70.401,SOFT
70.402,HARD
70.404,HARD
70.406,HARD
70.408,HARD
